Date,Scnt,Acnt,Ocnt
22/09/2021,57,22,18
21/09/2021,54,28,44
20/09/2021,66,19,1
19/09/2021,22,0,3
18/09/2021,32,0,4
17/09/2021,55,23,2
16/09/2021,34,6,5
15/09/2021,78,17,21
14/09/2021,75,16,9
13/09/2021,62,18,12
12/09/2021,29,0,0
11/09/2021,40,0,2
10/09/2021,40,12,12
09/09/2021,58,16,12
08/09/2021,44,11,22
07/09/2021,34,15,5
06/09/2021,50,12,9
05/09/2021,26,0,0
04/09/2021,14,0,0
03/09/2021,47,14,34
02/09/2021,40,14,3
01/09/2021,43,14,2
31/08/2021,25,0,2
30/08/2021,46,16,3
29/08/2021,23,0,0
28/08/2021,17,0,0
27/08/2021,25,17,0
26/08/2021,45,6,3
25/08/2021,46,6,14
24/08/2021,36,2,2
23/08/2021,26,4,5
22/08/2021,11,0,0
21/08/2021,9,0,0
20/08/2021,13,2,0
19/08/2021,10,1,2
18/08/2021,21,5,1
17/08/2021,28,3,0
16/08/2021,18,5,6
15/08/2021,8,0,0
14/08/2021,5,0,0
13/08/2021,8,2,4
12/08/2021,14,1,0
11/08/2021,11,2,0
10/08/2021,17,0,6
09/08/2021,13,4,0
08/08/2021,11,0,0
07/08/2021,5,0,0
06/08/2021,9,2,1
05/08/2021,12,1,5
04/08/2021,8,0,1
03/08/2021,14,4,7
02/08/2021,15,2,1
01/08/2021,11,0,0
31/07/2021,2,0,0
30/07/2021,19,1,7
29/07/2021,5,3,0
28/07/2021,14,1,0
27/07/2021,16,3,0
26/07/2021,15,6,0
25/07/2021,7,0,0
24/07/2021,11,0,0
23/07/2021,25,2,1
22/07/2021,15,0,0
21/07/2021,5,2,0
20/07/2021,6,0,0
19/07/2021,16,5,0
18/07/2021,22,0,0
17/07/2021,14,0,0
16/07/2021,4,1,0
15/07/2021,12,5,0
14/07/2021,19,1,0
13/07/2021,11,2,0
12/07/2021,23,5,0
11/07/2021,11,0,0
10/07/2021,9,0,0
09/07/2021,22,1,0
08/07/2021,8,0,0
07/07/2021,17,3,0
06/07/2021,14,2,0
05/07/2021,22,6,0
04/07/2021,11,0,0
03/07/2021,7,0,0
02/07/2021,16,3,0
01/07/2021,28,5,0
30/06/2021,19,5,0
29/06/2021,32,4,0
28/06/2021,26,11,0
27/06/2021,12,0,0
26/06/2021,13,0,0
25/06/2021,12,1,0
24/06/2021,6,1,0
